schema	sle-canto-span-vocabulary-stress-test-fixture-manifest-v0.1
version	0.1
status	proposed
normative_status	non-normative
purpose	stress-test independently proposed SLE for Linguistics rules against Canto-span-specific distinctions
authority_boundary	fixture entries do not define SLE terminology or normative requirements
entry_count	46
external_repository	Vazhi/canto-span
external_commit	c9dd631739734a5ab886f0b667db9888b0add13b
external_baseline_date	2026-07-27
field_schema	entry_id | concept_id | preferred_term | definition | scope | allowed_variants | excluded_interpretations | example | source_or_canonical_owner | frozen_reference | change_status
hash_algorithm	SHA-256
hash_input	exact UTF-8 bytes of each TSV part file
line_endings	LF
terminal_newline	required
part_id	markdown_path	tsv_path	entry_count	entry_ids	sha256
identity-governance	06 Registers/Canto-span Termbase — Identity and Governance.md	06 Registers/Canto-span Termbase — Identity and Governance.tsv	11	CS-TERM-0001..0010; CS-TERM-0023	07f885d34305f44cb7a926cd5f0be8c8351031b72fb38cfa2e600b9f93529bc7
status-evidence	06 Registers/Canto-span Termbase — Status and Evidence.md	06 Registers/Canto-span Termbase — Status and Evidence.tsv	16	CS-TERM-0011..0022; CS-TERM-0024..0025; CS-TERM-0047..0048	1b8aa2355d953a2257e9801daf419a71c9ff60ba78ff4ae7162f9e0265cbd681
corpus-panel	06 Registers/Canto-span Termbase — Corpus and Panel.md	06 Registers/Canto-span Termbase — Corpus and Panel.tsv	8	CS-TERM-0026..0033	a91f85e158b35dacd2f9086d7e82833a9e31c7edaedce4f7ac40ef4816efd816
runtime-verification	06 Registers/Canto-span Termbase — Runtime and Verification.md	06 Registers/Canto-span Termbase — Runtime and Verification.tsv	4	CS-TERM-0034..0037	8ccfa8e9097862bc782f5f5e78e44b153d52560253d3211cdacccc1aba5d04f1
workflow-authorization	06 Registers/Canto-span Termbase — Workflow and Authorization.md	06 Registers/Canto-span Termbase — Workflow and Authorization.tsv	6	CS-TERM-0038..0043	1bcc9e0e229bd565fecd0676b2eeefd0ee314864a3d7fa4d2096ffc6f33a572e
provenance-release	06 Registers/Canto-span Termbase — Provenance and Release.md	06 Registers/Canto-span Termbase — Provenance and Release.tsv	1	CS-TERM-0046	9ef0ccca6ca9208e92ae82b90ff8ae05e4590bfd68215add6cdf4be343cf1604
