entry_id	concept_id	preferred_term	definition	scope	allowed_variants	excluded_interpretations	example	source_or_canonical_owner	frozen_reference	change_status
CS-TERM-0011	CS-CONCEPT-LINGUISTIC-STATUS	linguistic status	the current evidence disposition recorded by the canonical grammar note for a construction	one current note under grammar/<status>/	status disposition	runtime state | availability | readiness | merge state	AA01 has linguistic status research_pending at the frozen baseline.	one current note under grammar/<status>/	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:grammar/	new_project_term
CS-TERM-0012	CS-CONCEPT-SUPPORTED-PRODUCTIVE	supported_productive	the status for a bounded construction profile that has passed every applicable promotion and completion gate	Canto-span linguistic status vocabulary	supported productive	probably grammatical | attested | implemented	A record may move to supported_productive only after the declared gates pass and the change is approved.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	status_literal
CS-TERM-0013	CS-CONCEPT-RESEARCH-PENDING	research_pending	the status for a language claim that remains under active research and has not satisfied the applicable promotion gates	Canto-span linguistic status vocabulary	research pending	unsupported in every respect | inactive | unavailable	AA01 remains research_pending while source, panel, or boundary work is incomplete.	one current note under grammar/<status>/	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:grammar/	status_literal
CS-TERM-0014	CS-CONCEPT-UNSUPPORTED-GENERALIZATION	unsupported_generalization	the status for a claimed generalization whose current breadth is not supported by the available evidence	Canto-span linguistic status vocabulary	unsupported generalization	unattested form | false example | retired identity	A narrow attested subtype can remain inside an unsupported_generalization note while the broad claim is revised.	one current note under grammar/<status>/	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:grammar/	status_literal
CS-TERM-0015	CS-CONCEPT-LEXICALIZED-ONLY	lexicalized_only	the status for a bounded lexical or formulaic inventory that must not be presented as an unrestricted productive pattern	Canto-span linguistic status vocabulary	lexicalized only	unproductive in every context | parser heuristic | retired	FormulaDiscourseUnit is lexicalized_only at the frozen baseline.	one current note under grammar/<status>/	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:grammar/	status_literal
CS-TERM-0016	CS-CONCEPT-PARSER-HEURISTIC	parser_heuristic	the status for an internal parser representation that is not asserted as a productive Cantonese construction	Canto-span linguistic status vocabulary and parser-representation records	parser heuristic	linguistic construction | productive pattern | verified language fact	ClauseSpan is documented as a parser_heuristic.	one current note under grammar/<status>/	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:grammar/	status_literal
CS-TERM-0017	CS-CONCEPT-ATTESTATION	attestation	a documented occurrence of an exact form in a specified source and context	source and corpus evidence statements	attested occurrence	productivity | frequency | broad acceptability | preferred analysis	The frozen source contains one attestation of the exact form in context.	docs/current/GOVERNANCE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/GOVERNANCE.md	narrowed_from_core_sle
CS-TERM-0018	CS-CONCEPT-PRODUCTIVITY	productivity	a bounded generalization that extends to novel eligible items or contexts and satisfies the declared productivity gates	claims about extension beyond listed tokens	productive use	attestation | frequency | runtime recognition	The productivity claim is limited to the declared variety, profile, and exclusions.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	narrowed_from_core_sle
CS-TERM-0019	CS-CONCEPT-EXTERNAL-SOURCE-SUPPORT	external source support	verified proposition-level support with an exact locator and a scope that matches the claim	published or otherwise independently checkable external sources	source support	topic relevance | bibliographic listing | copied example alone	The source directly supports the stated boundary and provides an exact locator.	docs/current/GOVERNANCE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/GOVERNANCE.md	new_project_term
CS-TERM-0020	CS-CONCEPT-SOURCE-SCOPE-MATCH	source-scope match	the relation in which a cited source directly supports the same proposition and bounded scope as the claim	claim-source records and promotion review	scope match	same topic | close terminology without boundary support	The source-scope match is exact for the overt V-唔-V profile.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	new_project_term
CS-TERM-0021	CS-CONCEPT-PROMOTION	promotion	an approved change to a higher linguistic status after every applicable gate passes	status transitions	status promotion	implementation | renaming | readiness ranking | passing tests	The reviewer approves promotion to supported_productive after all gates pass.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	new_project_term
CS-TERM-0022	CS-CONCEPT-PROMOTION-ELIGIBILITY	promotion eligibility	the condition in which all prerequisites for a proposed status promotion are satisfied, before the promotion decision itself	promotion review and readiness outputs	promotion-ready state | eligible for promotion	promotion | merge authorization | work availability	The record is promotion-eligible, but no status change occurs until approval.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	new_project_term
CS-TERM-0024	CS-CONCEPT-NEGATIVE-BOUNDARY	negative boundary	a stated and, when applicable, executable nonmatching case that limits the scope of a claim or detector	construction notes, tests, and promotion gates	boundary case | negative case	absence of evidence | random failing input	The note excludes suppletive 有冇 from the overt V-唔-V profile.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	new_project_term
CS-TERM-0025	CS-CONCEPT-HELD-OUT-VALIDATION	held-out validation	evaluation on sealed material that was not used to define, tune, or select the claim or implementation	final promotion and evaluation gates	held-out test	ordinary regression test | review of training examples	The sealed held-out set passes under the preregistered protocol.	docs/current/DEFINITION-OF-DONE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/DEFINITION-OF-DONE.md	new_project_term
