entry_id	concept_id	preferred_term	definition	scope	allowed_variants	excluded_interpretations	example	source_or_canonical_owner	frozen_reference	change_status
CS-TERM-0001	CS-CONCEPT-CONSTRUCTION-IDENTITY	construction identity	the permanent record that binds one construction or retained record to its UUID and short code	Canto-span identity records; identity persists through ordinary renaming, narrowing, status movement, and runtime changes	identity record	linguistic support | runtime recognition | current name alone	AA01 keeps the same construction identity after its canonical name changes.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0002	CS-CONCEPT-CONSTRUCTION-UUID	construction UUID	the globally unique identifier assigned permanently to one construction identity	UUID-keyed construction records	UUID	construction code | canonical name | runtime label	The adjudication applies to UUID 5e10dfc5-15a5-5f5a-b203-37c81a653330.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0003	CS-CONCEPT-CONSTRUCTION-CODE	construction code	the permanent short code assigned to one construction identity	Canto-span short codes such as AA01 and AB30	short code	status label | family ID | version number	AB30 identifies the same record across documentation revisions.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0004	CS-CONCEPT-CANONICAL-NAME	canonical name	the currently accepted descriptive name assigned to a construction identity by accepted adjudication	UUID-keyed ontology records	accepted name	legacy label | learner label | status	M4MarkedANotAInterrogative is the canonical name for AA01 at the frozen baseline.	docs/current/CONSTRUCTION-ADJUDICATION.md and accepted UUID-keyed adjudication records	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/CONSTRUCTION-ADJUDICATION.md	new_project_term
CS-TERM-0005	CS-CONCEPT-LEGACY-LABEL	legacy label	an earlier or compatibility label retained for lookup, runtime compatibility, migration, or provenance	legacy note labels and runtime labels	legacy runtime label | former name	canonical name | construction identity | current status	ANotAQuestion remains a legacy label for AA01.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0006	CS-CONCEPT-CONSTRUCTION-FAMILY	construction family	a named grouping used to organize related construction identities without transferring evidence or status between them	Canto-span family_name fields	family	single construction | evidence inheritance group	AA01 belongs to the ANotAInterrogatives construction family.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0007	CS-CONCEPT-CONSTRUCTION-PROFILE	construction profile	the bounded structural or functional scope assigned to one construction identity	profile_name and profile_description fields	profile	family | runtime detector | unrestricted language pattern	VerbM4VerbMatrixOrEmbedded identifies the bounded profile for AA01.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0008	CS-CONCEPT-CLAIM-LAYER	claim layer	the declared level at which a record makes its principal claim, such as language construction or parser representation	identity and research records	claim level	linguistic status | evidence grade | runtime state	ClauseSpan has a parser-representation claim layer.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0009	CS-CONCEPT-LIFECYCLE-STATE	lifecycle state	the state that records whether an identity is current or retired	construction identity registry	record lifecycle	linguistic status | workflow availability | promotion readiness	A retired record remains permanently resolvable but is not current.	docs/current/CONSTRUCTION-IDENTITY.md and data/construction-identities.json	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:data/construction-identities.json	new_project_term
CS-TERM-0010	CS-CONCEPT-CANONICAL-OWNER	canonical owner	the narrowest authoritative record that controls one state dimension	all governed Canto-span state	state owner | authoritative record	most detailed record | latest comment | copied snapshot	PROJECT-STATE.md is the canonical owner of present-tense work order.	docs/current/00-START-HERE.md	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/00-START-HERE.md	new_project_term
CS-TERM-0023	CS-CONCEPT-ADJUDICATION	adjudication	an accepted expert decision about construction identity, ontology, naming, profile boundaries, or record disposition	UUID-keyed adjudication records	expert adjudication	speaker judgment | status promotion | parser test	The accepted adjudication changes the canonical name and preserves the UUID.	docs/current/CONSTRUCTION-ADJUDICATION.md and accepted UUID-keyed adjudication records	Vazhi/canto-span@c9dd631739734a5ab886f0b667db9888b0add13b:docs/current/CONSTRUCTION-ADJUDICATION.md	new_project_term
